web-scraper-order,web-scraper-start-url,movies,
"1525943565-22654","https://bechdeltest.com/?list=all","My Stepmother Is an Alien","null"
"1525943565-18290","https://bechdeltest.com/?list=all","Mama","null"
"1525943565-17979","https://bechdeltest.com/?list=all","The Single Moms Club","null"
"1525943565-20090","https://bechdeltest.com/?list=all","American Zombie","null"
"1525943565-20294","https://bechdeltest.com/?list=all","Transformers","null"
"1525943565-17097","https://bechdeltest.com/?list=all","Wind River","null"
"1525943565-17109","https://bechdeltest.com/?list=all","The 5th Wave","null"
"1525943565-18135","https://bechdeltest.com/?list=all","Dallas Buyers Club","null"
"1525943565-20025","https://bechdeltest.com/?list=all","The Sky Crawlers","null"
"1525943565-23601","https://bechdeltest.com/?list=all","A Hard Day's Night","null"
"1525943565-17459","https://bechdeltest.com/?list=all","Entourage","null"
"1525943565-24271","https://bechdeltest.com/?list=all","The Prisoner of Zenda","null"
"1525943565-16936","https://bechdeltest.com/?list=all","Blade Runner 2049","null"
"1525943565-21939","https://bechdeltest.com/?list=all","Bound","null"
"1525943565-18673","https://bechdeltest.com/?list=all","Parental Guidance","null"
"1525943565-17651","https://bechdeltest.com/?list=all","Titli","null"
"1525943565-17772","https://bechdeltest.com/?list=all","East Side Sushi","null"
"1525943565-20358","https://bechdeltest.com/?list=all","Beerfest","null"
"1525943565-20853","https://bechdeltest.com/?list=all","Jersey Girl","null"
"1525943565-19516","https://bechdeltest.com/?list=all","Armored","null"
"1525943565-18117","https://bechdeltest.com/?list=all","Cheap Thrills","null"
"1525943565-19779","https://bechdeltest.com/?list=all","The Time Traveler's Wife","null"
"1525943565-19593","https://bechdeltest.com/?list=all","Enter the Void","null"
"1525943565-18202","https://bechdeltest.com/?list=all","The Great Gatsby","null"
"1525943565-19621","https://bechdeltest.com/?list=all","The Girl Who Played with Fire","null"
"1525943565-21190","https://bechdeltest.com/?list=all","Minority Report","null"
"1525943565-24293","https://bechdeltest.com/?list=all","Pennies from Heaven","null"
"1525943565-23837","https://bechdeltest.com/?list=all","The Seventh Seal","null"
"1525943565-20579","https://bechdeltest.com/?list=all","Batman Begins","null"
"1525943565-21919","https://bechdeltest.com/?list=all","Tower of Terror","null"
"1525943565-22324","https://bechdeltest.com/?list=all","Swing Kids","null"
"1525943565-23985","https://bechdeltest.com/?list=all","Quo Vadis","null"
"1525943565-16939","https://bechdeltest.com/?list=all","Bright","null"
"1525943565-22817","https://bechdeltest.com/?list=all","The Black Cauldron","null"
"1525943565-21492","https://bechdeltest.com/?list=all","Ju-on","null"
"1525943565-22884","https://bechdeltest.com/?list=all","Angel","null"
"1525943565-19081","https://bechdeltest.com/?list=all","Soul Surfer","null"
"1525943565-23431","https://bechdeltest.com/?list=all","Donkey Skin","null"
"1525943565-17522","https://bechdeltest.com/?list=all","Kung Fury","null"
"1525943565-19720","https://bechdeltest.com/?list=all","Nowhere Boy","null"
"1525943565-19566","https://bechdeltest.com/?list=all","The Cry of the Owl","null"
"1525943565-24105","https://bechdeltest.com/?list=all","The Woman in Green","null"
"1525943565-22938","https://bechdeltest.com/?list=all","A Christmas Story","null"
"1525943565-22423","https://bechdeltest.com/?list=all","Doc Hollywood","null"
"1525943565-18693","https://bechdeltest.com/?list=all","Red Dawn","null"
"1525943565-18422","https://bechdeltest.com/?list=all","Welcome to the Punch","null"
"1525943565-22228","https://bechdeltest.com/?list=all","Sister My Sister","null"
"1525943565-20871","https://bechdeltest.com/?list=all","Miracle","null"
"1525943565-17110","https://bechdeltest.com/?list=all","The 9th Life of Louis Drax","null"
"1525943565-22629","https://bechdeltest.com/?list=all","Big Business","null"
"1525943565-19033","https://bechdeltest.com/?list=all","Pariah","null"
"1525943565-19360","https://bechdeltest.com/?list=all","Oranges and Sunshine","null"
"1525943565-18376","https://bechdeltest.com/?list=all","Some Girl(s)","null"
"1525943565-18518","https://bechdeltest.com/?list=all","Cosmopolis","null"
"1525943565-17201","https://bechdeltest.com/?list=all","Free State of Jones","null"
"1525943565-18344","https://bechdeltest.com/?list=all","The Princess Twins of Legendale","null"
"1525943565-24450","https://bechdeltest.com/?list=all","Seven Chances","null"
"1525943565-19549","https://bechdeltest.com/?list=all","Case 39","null"
"1525943565-20603","https://bechdeltest.com/?list=all","Conversations with Other Women","null"
"1525943565-19382","https://bechdeltest.com/?list=all","Rare Exports","null"
"1525943565-22308","https://bechdeltest.com/?list=all","The Princess and the Cobbler","null"
